Category,2022 Total
INCOME,******
Deposit,1139133.00
Other Inc,507360.52
[Checking 2815],0.00
[Checking 9122],0.00
Refund,7552.65
TOTAL INCOME,1654046.17
EXPENSES,******
Construction Supplies,36796.95
Equip Rental,140293.90
Payroll Taxes,9734.48
Bills & Utilities,733.99
Office,7436.23
Labor,11867.50
Auto & Transport,42001.24
Osha,3339.00
Personal,111726.70
Subcontractors,1254737.73
Accounting,4850.00
Fines,1994.40
Prof and Legal Fees,900.00
Insurance,22993.64
Payroll Fees,1503.53
Fees & Charges,898.00
TOTAL EXPENSES,1651807.29
OVERALL TOTAL,2238.88
